Manufacturer,ASIN,Description
"POLESTAR, JAI AMBAY ENTERPRISES ,03AAFFJ0421M1ZQ, B -29 ,Sports & Surgical complex,Kapurthala Road, Jalandhar Punjab 140021 India . +91 9914112308 , polestarbags@gmail.com",B08X2JSJ6N,
"Acefour Accessories Pvt. Ltd., Acefour Accessories Pvt. Ltd. , Lodha Supremus Corp. Tower, Unit 1202,12th Floor,Saki Vihar road, Chandivali, Tunga Village, Opp. MTNL office, Andheri E, Mumbai -400072, Maharashtra, India",B0BWNCV31F,
SaiTech IT Private Limited,B0983N9GXN,
"Acefour Accessories Pvt. Ltd., Acefour Accessories Pvt. Ltd. , Lodha Supremus Corp. Tower, Unit 1202,12th Floor,Saki Vihar road, Chandivali, Tunga Village, Opp. MTNL office, Andheri E, Mumbai -400072, Maharashtra, India",B0BR1D4SL1,
Amazing Bags,B09VCLZ3K4,"We(Half Moon) are sellers and manufacturers of various types of Customized Bags. Our product array comprises Backpacks, Sports Bags, Duffel Bags, Drawstring Bags, etc. These bags accomplish the customer's specifications and requirements. We provide these bags in numerous colors, designs, shapes, shades, patterns, etc. Our bags are known for lightweight, easy carrying, versatile usage, and durable nature.   This trendy backpack comes with multiple pockets and compartments and is very spacious and can accommodate all your stuff and will still be left with more space. With all features like padded handle, padded laptop compartment, internal organiser, reflector logo, bottle pockets, rain/dust cover etc, there is nothing that this backpack does not offer.   This MADE IN INDIA Product features 2 large zippered compartments, 2 water bottle /umbrella pockets, Rain cover, Padded Laptop Compartment with 360° Protection, Top padded Handle for comfort, Reflective Stickers & Brand Logo for safety while travelling at night. Its ergonomics comfortable design makes you forget the load you are carrying,   This laptop backpack comes with two spacious zippered compartments which can accommodate your notebooks and other essentials with ease. This casual bag has Wide, Padded and Adjustable shoulder straps and Padded Back for comfort in carrying heavy items. Stitched properly and Bartacks on every pressure point for extra durability.   This backpack features an Internal Organiser that is small pockets inside the front compartment for holding pens, ID cards, etc. These pockets are very useful in organizing your small day-to-day items.   This backpack includes a separate rain/dust cover which can be very handy. It keeps your valuables safe and secure from rain and dust and keeps the backpack neat and clean for a longer period of time.   Half Moon is proud to be an Indian Brand. We understand the importance of Indian manufacturing and supply chains. It is the time when we revive local industries that's why this bag is Made in India by Indians using Indian materials.   Half Moon offers high quality bags at lowest prices. We offers bags directly from factory to the customer to provide the bag at lowest prices possible."
"Uber Fashion Merchandise Pvt. Ltd., Uber Fashion Merchandise Pvt. Ltd. No. 17G/46-3 & 17G/46-3-1,1st& 2nd Floor, Industrial Suburb,2ndStage, Yeshwantpur, Next to Sapna Books on MEI road,Bangalore  560 022. INDIA Tel: 9066161590",B078J63VRY,"Well if you are looking for a big bag which is also very Stylish, Durable, Waterproof with a Laptop in built sleeve then your search ends here. Yes you Got it Right!, This F Gear bag has three big compartments to boast of along with a huge horizontal pocket in the front and two bottle holders on both sides of the bag. It has an inbuilt Rain cover neatly tucked away in a concealed pocket along with Reflective Strips and Reflective Printing makes it a natural choice for rainy Season. Support at the base makes it suitable for rough/dirty terrains. Padded Shoulders and Back with Side Compression straps completes the picture.   The 2nd compartment is the middle compartment. You can keep just about anything in it from textbooks, clothes, or other necessities.   The 3rd compartment is the main compartment. It is really huge. It has a separate padded sleeve to keep a 17"" laptop.   The long vertical pocket in the front to keep your mobile, wallet, power bank etc...   Premium and durable YKK zippers and sliders   Bottom bushes are support at the base makes it suitable for rough and dirty terrains.   Elastic material around the edge of the cover, it is able to adjust the size according to different backpacks.   Made of waterproof wear-resisting Polyester material, durable, very light almost weightless, portable, useful and scratch-resistant."
Derben Clove,B08TVL3MWJ,"We take extreme care in the grading and selection of the leather and material due to which it provides long life and durability.High quality Antique brass finished accessories such as its hook and dee , shoulder straps hook provides a decent look.   The Sling bag comes with ultra durable knitted finely fabric which is scratch resistant and the special Imitation Vegan leather. The bag provides you high end style based on latest fashion trends. As we here tends to provide affordable high quality quotient.   The sling bag comes very suitable dimensions which is very convenient to carry. Its sleek but having a nice storing capacity. WEIGHT : 455 GM.   LENGTH : 41 CM   WIDTH : 36 CM   HEIGHT : 9 CM   INNER NICE STORAGE CAPACITY   This bag is specially designed for office going men and women. As its very convenient to carry due to the padded handle. Fits for carrying laptops, files, diaries, notebooks, power bank, pen and other stationary. Suitable for business purpose perfect for day to day office going purpose, business meetings etc.   This messenger Side bag comes with vary unique features and qualities :   1. There existing durable metal zipper handles which are reversible i.e can be used from both sides.   2. Comes with very wide comfortable shoulder strap which is made from two types material i.e vegan leather and nylon fabric.   3. Comes with durable double stitching so that it can provide high on long lasting life.   4. Comes with metal buckle which provides you an ease to adjust the shoulder straps according to your need.   5. Comes with very sturdy zippers which runs very smoothly.   6. Comes with metal hook and buckle which make the shoulder strap detachable so that this bag can be either used as side cross body bag or as a hang held messenger bag. Due to this featured you can use this bag very conveniently along with maintain your style quotient.   1. Unique brass finish metal hooks and circle make it more durable.   2. Metal zippers for long lasting uses. Zippers works from both sides.   3. The shoulder strap is adjustable and strong smooth to run due to the metal buckle on it which helps to adjust the length of the strap.   1. Upper handle provides strong and sturdy feel.   2. There is a very durable X shaped stitching which provides it an extra strong feature.   3. Handles are so comfortable to carry. Padded round shaped handle provides better grip while running also.   1. This laptop bag is specially designed to carry your laptops easily and comfortably. In this there comes a cushioned padded laptop sleeve to hold your laptop and make it sturdy at its place. Also beside this laptop sleeve there are many other pockets provided to carry your additional office accessories It Comes with One Laptop Sleeve, one zipper pocket , Two Pen cases one power bank holder and except all these you can carry your diaries and files inside the main compartment.   2. Other side a big zipper pocket to carry notebook.   3. Power bank pocket along with pen and pencils thin pockets.   4. Except all these there still exist nice sufficient space to carry your diaries files etc.   We Derben Clove mainly inspired by latest trends and fashion of young generation and achievers. We aim to craft and design our bags and accessories with researched thoughtful design, functionality and good aesthetics which could accompany many achievers to make their journey of life to be complete with effortless charm, cool confidence, and fearless spirit."
Wildcraft,B012D51GXO,
,B099N8JRVJ,"This PLAYYBAGS Has Two Compartments And One Side Pocket And Includes A Customised Notebook Cradle And Workstation Section, Attractive Metal Pulls, And The Playybags bags Fits Most Laptops With A Display Of Up To 15.6"", Providing Full Protection., Padded Cushion At The Back Ensures Enough Air Flow. Adjustable, Padded Shoulder Straps, Comfortable During Use., Durable, Water-Resistant Material Ensures A Long Lifetime., Adequate Space For Laptop, Adapter, Mouse, And Daily Belongings.   A top-quality bag with perfect sewing for carrying heavy items easily   Made with strong yet light weight  fabric with strong metal zippers.   These compartments are Made with strong yet lightweight polyester fabric with heavy zippers.   The adjustable strap ensures comfort for carrying it on your shoulder."
"Uber Fashion Merchandise Pvt. Ltd., Uber Fashion Merchandise Pvt. Ltd. No. 17G/46-3 & 17G/46-3-1,1st& 2nd Floor, Industrial Suburb,2ndStage, Yeshwantpur, Next to Sapna Books on MEI road,Bangalore  560 022. INDIA Tel: 9066161590",B071VNWC1C,"Our goal at F Gear is to design, invent, engineer,  manufacture and market innovative, high quality products that integrate  style, functionality and design technology to meet the changing  lifestyle and needs of people in every hemisphere of their  lives. Every design invented by us is made to gear you up for a smooth  travel experience."
URBAN WOLF INDIA,B08N6HSJJ5,"It helps in supporting back & relieves stress. Effectively protect cervical vertebrae.   It allows the backpack to be securely placed on a trolley when used for longer journeys or heavier loads.   URBAN WOLF Backpack is available in different colours.   It has an anti-theft invisible pocket, keeping your valuables safe from thieves.   With the help of adjustable buckle you can adjust shoulder strap size for better fit.   They will Not Tear Apart Easily. Even Carrying Excessive Weight.   Mesh padded shoulders straps helps in reducing strain over shoulders.   Big handle provides the needed comfort while carrying.   Bag features dedicated storage space for Dedicated, padded space for laptop up to 15.6-Inch and separate space iPad/ Tablet. Same time plenty of space for other stuff."
"LL LEATHER LAND DESIGNER BAGS, LL Leather Land Designer Bags,Customer Support (9849818415)",B0BD4TTDHD,
"Acefour Accessories Pvt. Ltd., Acefour Accessories Pvt. Ltd. , Lodha Supremus Corp. Tower, Unit 1202,12th Floor,Saki Vihar road, Chandivali, Tunga Village, Opp. MTNL office, Andheri E, Mumbai -400072, Maharashtra, India",B0BTDB674X,
"Acefour Accessories Pvt. Ltd., Acefour Accessories Pvt. Ltd. , Lodha Supremus Corp. Tower, Unit 1202,12th Floor,Saki Vihar road, Chandivali, Tunga Village, Opp. MTNL office, Andheri E, Mumbai -400072, Maharashtra, India",B0B81YTTWS,
"Durant International. Address : GIDC Lodhika, Rajkot-360021, Gujarat. Customer Care : 9809804990",B09B5DMGM1,"Your valuable belongings will be protected from theft by the bag's well-managed anti-theft system which comprises hidden zippers and pockets.   A USB charging connector is available on the laptop backpack, which is perfect for charging your phone or other electronic devices when in need.   This bag features a dedicated laptop pocket for a 15.6-inch laptop and a large area with sufficient space for your clothes etc. and side pockets for an umbrella and water bottle.   More space is created when one compartment expands to a length of 5–6 cm.   Puffed handles & back to assist you with comfort.   Crafted from high-quality nylon material"
"Acefour Accessories Pvt. Ltd., Acefour Accessories Pvt. Ltd. , Lodha Supremus Corp. Tower, Unit 1202,12th Floor,Saki Vihar road, Chandivali, Tunga Village, Opp. MTNL office, Andheri E, Mumbai -400072, Maharashtra, India",B0BWNCV31F,
"EUME, B-1 Nandkishore Industrial Estate off, Mahakali Caves Road, Andheri East, Mumbai-400093",B07XG935R9,
Wildcraft,B012D51GXO,
,B099N8JRVJ,"This PLAYYBAGS Has Two Compartments And One Side Pocket And Includes A Customised Notebook Cradle And Workstation Section, Attractive Metal Pulls, And The Playybags bags Fits Most Laptops With A Display Of Up To 15.6"", Providing Full Protection., Padded Cushion At The Back Ensures Enough Air Flow. Adjustable, Padded Shoulder Straps, Comfortable During Use., Durable, Water-Resistant Material Ensures A Long Lifetime., Adequate Space For Laptop, Adapter, Mouse, And Daily Belongings.   A top-quality bag with perfect sewing for carrying heavy items easily   Made with strong yet light weight  fabric with strong metal zippers.   These compartments are Made with strong yet lightweight polyester fabric with heavy zippers.   The adjustable strap ensures comfort for carrying it on your shoulder."
"Uber Fashion Merchandise Pvt. Ltd., Uber Fashion Merchandise Pvt. Ltd. No. 17G/46-3 & 17G/46-3-1,1st& 2nd Floor, Industrial Suburb,2ndStage, Yeshwantpur, Next to Sapna Books on MEI road,Bangalore  560 022. INDIA Tel: 9066161590",B071VNWC1C,"Our goal at F Gear is to design, invent, engineer,  manufacture and market innovative, high quality products that integrate  style, functionality and design technology to meet the changing  lifestyle and needs of people in every hemisphere of their  lives. Every design invented by us is made to gear you up for a smooth  travel experience."
"ah arctic hunter, Hoteon Trading Pvt. Ltd., #191, BOOHBCS (BANK COLONY),BTM 2nd Stage, Bangalore-560068. Phone 9148183707 or customercare@hoteon.com",B0B6FRHV7C,"Arctic Hunter Backpack,Pack the world in your backpack"
imported,B07PFL5Z3W,
"PALAY, Raghu Trading Limited (HK)",B09XMGJZH8,
"Bagzone Lifestyle Pvt Ltd, Bagzone Lifestyle Pvt Ltd | | LAVIE 402, Ackruti Star, MIDC Central Road, Andheri East, Mumbai  400093",B0B7JJ8BB3,
"Acefour Accessories Pvt. Ltd., Acefour Accessories Pvt. Ltd. , Lodha Supremus Corp. Tower, Unit 1202,12th Floor,Saki Vihar road, Chandivali, Tunga Village, Opp. MTNL office, Andheri E, Mumbai -400072, Maharashtra, India",B0BTDB674X,
"Acefour Accessories Pvt. Ltd., Acefour Accessories Pvt. Ltd. , Lodha Supremus Corp. Tower, Unit 1202,12th Floor,Saki Vihar road, Chandivali, Tunga Village, Opp. MTNL office, Andheri E, Mumbai -400072, Maharashtra, India",B0BR1D4SL1,
"Acefour Accessories Pvt. Ltd., Acefour Accessories Pvt. Ltd. , Lodha Supremus Corp. Tower, Unit 1202,12th Floor,Saki Vihar road, Chandivali, Tunga Village, Opp. MTNL office, Andheri E, Mumbai -400072, Maharashtra, India",B0BR1C59R8,
"ah arctic hunter, Hoteon Trading Pvt. Ltd., #191, BOOHBCS (BANK COLONY),BTM 2nd Stage, Bangalore-560068. Phone 9148183707 or customercare@hoteon.com",B0B6FNB898,"Arctic Hunter Backpack,Pack the world in your backpack"
Tabelito Trade India,B08Y3L4PHK,"This travel laptop backpack has two main compartment pockets. One separate laptop compartment holds 15.6 Inch Laptop as well as 15 Inch, 14 Inch and 13 Inch Mac book or Laptop. The other one packing compartment is roomy for daily necessities and tech electronics accessories. Front compartment with zipper pockets and pen pockets; 2 small elastic mesh side pockets. Make your items organized and easier to find.   This high-end laptop bag is designed for a professional worker who is constantly on the go. A person who aspires to live their goals has a hunger for the best, a desire to achieve something that has never been seen before. These persons will stop at nothing to achieve their goals. We created and produced this one-of-a-kind and outstanding item specifically to meet the needs of such a person."
"Acefour Accessories Pvt. Ltd., Acefour Accessories Pvt. Ltd. , Lodha Supremus Corp. Tower, Unit 1202,12th Floor,Saki Vihar road, Chandivali, Tunga Village, Opp. MTNL office, Andheri E, Mumbai -400072, Maharashtra, India",B0B69M182Q,
,B0BMQPZ4V4,"We understand that your assets and documents can be of great value. To care for them, it features an anti-theft zippered pocket in the lower back of the backpack.   Integrated USB charging port, Illuminating safety strips, Water repellent fabric, Weight balance, Luggage strap, Adjustable open angles, Advanced storage design, and Shock-proof Design. With our attached charging dock, now charging on the go is easier than before.   Use this bag all year round, and keep your laptop and other belongings safe from dust and stains or unexpected showers. This BUCKETLIST backpack is made of water-resistant polymer material.   Weighing less than a kilogram, the backpack is portable and easy to carry. The backpack does not impose much weight on the user. The backpack has a large capacity. All you may feel is the weight of your belongings.   Just like your laptop, this backpack can also be opened up to 90-degrees. Yes, from now on you won’t have to sneak peek inside to find something.   Multiple pockets and compartments in this backpack allow organized packing of these things."
"Uber Fashion Merchandise Pvt. Ltd., Uber Fashion Merchandise Pvt. Ltd. No. 17G/46-3 & 17G/46-3-1,1st& 2nd Floor, Industrial Suburb,2ndStage, Yeshwantpur, Next to Sapna Books on MEI road,Bangalore  560 022. INDIA Tel: 9066161590",B06XW7FSHF,"Our goal at F Gear is to design, invent, engineer, manufacture and market innovative, high quality products that integrate style, functionality and design technology to meet the changing lifestyle and needs of people in every hemisphere of their lives. Every design invented by us is made to gear you up for a smooth travel experience."
,B0B25B5PB6,
Half_Moon,B09CGZ2W28,
The Clownfish,B079HZJTK2,"Equip yourself with The Clownfish Trident Series laptop briefcase, Efficiently designed to be an ultimate friend at your workplace.   This Bag has been developed in soft premium Leatherette material which gives it a rich appearance as well as it has a polished glossy texture for better appealing.    Quality of the bag is not only contributed by good quality leatherette, but also by the use of good quality Metal fittings and Reinforcement materials. We have used high quality metal zippers and sliders, Durable polyester material inside the bag, Strong leatherette cushioned strap in shoulder for better handling.   Strong cushioned strap in shoulder for better handling, Sturdy alloy fittings in the handle for durability.    It is provided with 3 spaced compartments to hold your accessories at its exterior ensuring you are equipped sufficiently while travelling.   Efficiently designed to be an ultimate friend at your workplace. It is well designed to equip laptops upto 15.6 inches in size and its accessories, it is also provided with a laptop sleeve.   Elegant, Rich, Luxurious   The main idea for developing this bag was to bring something which will be essential for working class people, who take laptop around with them.   The material quality we used to design the bag, The features installed in the bag as well as the overall look of the bag   Delivering the best experience to the customer and providing maximum service."
Amazing Bags,B09VCLZ3K4,"We(Half Moon) are sellers and manufacturers of various types of Customized Bags. Our product array comprises Backpacks, Sports Bags, Duffel Bags, Drawstring Bags, etc. These bags accomplish the customer's specifications and requirements. We provide these bags in numerous colors, designs, shapes, shades, patterns, etc. Our bags are known for lightweight, easy carrying, versatile usage, and durable nature.   This trendy backpack comes with multiple pockets and compartments and is very spacious and can accommodate all your stuff and will still be left with more space. With all features like padded handle, padded laptop compartment, internal organiser, reflector logo, bottle pockets, rain/dust cover etc, there is nothing that this backpack does not offer.   This MADE IN INDIA Product features 2 large zippered compartments, 2 water bottle /umbrella pockets, Rain cover, Padded Laptop Compartment with 360° Protection, Top padded Handle for comfort, Reflective Stickers & Brand Logo for safety while travelling at night. Its ergonomics comfortable design makes you forget the load you are carrying,   This laptop backpack comes with two spacious zippered compartments which can accommodate your notebooks and other essentials with ease. This casual bag has Wide, Padded and Adjustable shoulder straps and Padded Back for comfort in carrying heavy items. Stitched properly and Bartacks on every pressure point for extra durability.   This backpack features an Internal Organiser that is small pockets inside the front compartment for holding pens, ID cards, etc. These pockets are very useful in organizing your small day-to-day items.   This backpack includes a separate rain/dust cover which can be very handy. It keeps your valuables safe and secure from rain and dust and keeps the backpack neat and clean for a longer period of time.   Half Moon is proud to be an Indian Brand. We understand the importance of Indian manufacturing and supply chains. It is the time when we revive local industries that's why this bag is Made in India by Indians using Indian materials.   Half Moon offers high quality bags at lowest prices. We offers bags directly from factory to the customer to provide the bag at lowest prices possible."
ABU GROUP OF INDUSTRIES,B09WJ16LPN,
Lookmuster,B0BS6YGKMC,"The Killer Louis backpack is a sleek, light bag with a young-at-heart design that's perfect for school or daily travel. Made for daily use, this bag is not oversized and is meant to carry your essentials. With its trendy looks and easy to organize design, this bag is cute and suave as well as useful, to help you complete your look. Quietly stylish and durable, it features multiple compartments to help organize your stuff.   With a slim, sleek and compact design you will love how this backpack can look small and compact even though it has 4 spacious compartments to store your gadgets, books, keys and even a water bottle!   You can take along your gadgets with you to office, college or anywhere with this backpack, as it has got allotted storage space that fits a laptop of up-to 16 inches.   Designed with great quality materials that are waterproof, tough and durable, this backpack is like no other as it features a lightweight design that is easy to maintain as well.   Polyester is widely popular on account of its durability and toughness. Made of fibres that do not wear down quickly even with daily use and it is resistant to wrinkling and shrinking. The light weight feel of the material also makes it a very in-demand material for backpacks.   Be it those stormy rainy season, scorching heat, or freezing winters, this bag can endure as it is crafted, designed and made with quality and tough materials.   Featuring 4 compartments, the main compartment and a front compartment to store smaller objects/pens/thin notebooks etc. It also includes a laptop sleeve with a Velcro strap for safety.   The back straps of the backpack are padded to give the user maximum support and it made with anti-sweat fabric, giving you the comfort throughout the day."
"Acefour Accessories Pvt. Ltd., Acefour Accessories Pvt. Ltd. , Lodha Supremus Corp. Tower, Unit 1202,12th Floor,Saki Vihar road, Chandivali, Tunga Village, Opp. MTNL office, Andheri E, Mumbai -400072, Maharashtra, India",B0BWNCV31F,
,B09D3YYYNG,"Harissons, established in 1959, is India's pioneer in the travel gear and luggage space. With a rich history of innovation and a commitment to excellence, we're confident that our F.I.R.E. (Functional. Innovative. Reliable. Ergonomic.) products will continue to set the standard for the industry for many years to come. So whether you're commuting to work, travelling the world, or just looking for a reliable storage solution, we've got you covered."
,B0BW62ZR8N,
ah arctic hunter,B07TT785P7,
Uber Fashion Merchandise Pvt. Ltd.,‎B072R5Z149,"Our goal at F Gear is to design, invent, engineer,  manufacture and market innovative, high quality products that integrate  style, functionality and design technology to meet the changing  lifestyle and needs of people in every hemisphere of their  lives. Every design invented by us is made to gear you up for a smooth  travel experience. All Backpacks and Travel Bags have been designed and  Made In India."
"Rushi Enterprise, Rushi Enterprise, Gujarat Amreli (INDIA)-365601 Mo- 7016045876",B07GXX2BP3,"Pump up your style quotient a notch higher as you step out carrying this Dzert's Casual Backpack. It has a vibrant and stylish design, along with the added benefit of spacious interiors. Made from polyester, this backpack features a blue colour along with the brand name in front.   The bag has spacious compartments for carrying your belongings separately. There are also external pockets for carrying a bottle and other essentials.   This backpack comes with padded shoulder straps which can be adjusted according to your size for a customized fit. Furthermore, the broad straps distribute the weight of the backpack evenly across your shoulders.   his trendy and stylish backpack from Pole Star comes with a bottle pocket which can comfortably accommodate your bottle in a secure manner. Stay active all day and travel comfortably with the help of this ergonomically designed stylish backpack.   This amazing travel buddy comes with an easy to use loop handle at the top. The top Padded handle provides a secure hold while you pick up or move the backpack.   This casual backpack comes with two spacious zippered compartments which can accommodate your notebooks & Laptop and other essentials with ease. Store your umbrella, notebooks and water bottle in this spacious bag and move around comfortably all day. college to picnic, to a casual outing to camping and short trips, this bag can be your great companion everywhere. Pack your bags and ready, steady go."
AirCase,B07V47HHRG,"Zippered pockets on front side of bag allows to store other accessories like smartphone, power adapter, power cable, mouse, couple of pen, passport, powerbank, Key, credit cards etc.   Main compartment dedicated for laptop & iPad & Tablet padded with extra padding. It provide 360 degree protection to your devices.   Improved zipper & pulls design, seal up incredibly tight when zipped up.   Easy to carry with comfortable & convenient leather handle on top. It is retractable when not in use as shown above.   Made of nylon material which has spill-resistant surface. Protects your belongings from getting wet.   With the help of 3 layers it provides good quality padding of the main compartment. Insure 360 degree protection for your laptop and prevents from major impacts or bumps.   It allows to easily converts your messenger bag into handle sleeve.   It provides extra comfort while carrying heavy weight.   It allows the bag to be securely placed on a trolley when used for longer journeys or heavier loads.  
  Securely holds your keys and prevent from misplacing.   Zippered side pocket for half liter water bottle
or umbrella. Can be hide when not in use."
,B09D3Y15FH,"Harissons, established in 1959, is India's pioneer in the travel gear and luggage space. With a rich history of innovation and a commitment to excellence, we're confident that our F.I.R.E. (Functional. Innovative. Reliable. Ergonomic.) products will continue to set the standard for the industry for many years to come. So whether you're commuting to work, travelling the world, or just looking for a reliable storage solution, we've got you covered."
"Gear, Gear Merchandise PVT LTD E/12 West Chowbaga Gulshan colony KoLkata-700100 Contact 9830403366",B012NW1H1I,
"EUME, B-1 Nandkishore Industrial Estate off, Mahakali Caves Road, Andheri East, Mumbai-400093",B07XG935R9,
"STRABO, STRABO BAGS AND ACCESSORIES LLP; assistme@strabo.one",B0B7FHWY4M,
"POLESTAR, JAI AMBAY ENTERPRISES ,03AAFFJ0421M1ZQ, B -29 ,Sports & Surgical complex,Kapurthala Road, Jalandhar Punjab 140021 India . +91 9914112308 , polestarbags@gmail.com",B08X2KR6T9,"Made with strong, water resistant Polyester fabric for a lightweight and durable finish. Our polestar backpack is designed thoughtfully for your perfect on the go lifestyle.   Made for maximum Comfort, it has padded breathable mesh back and adjustable straps. S-curved Ergo-Grip straps that distribute weight evenly over your shoulders and back.   We aim to provide optimal organisation with 3 main compartments, premium zippers, 2 front pocketS and 2 side water bottle pockets along with easy to carry top Loop.   Premium quality zips that are durable for smooth operations.   Elasticated Strap Lock secures your laptop or belongings in place.   Inner Pocket allows for easy organisation of your things."
,B07YNKY9PN,
"Bagzone Lifestyle Pvt Ltd, Bagzone Lifestyle Pvt Ltd | | LAVIE 402, Ackruti Star, MIDC Central Road, Andheri East, Mumbai  400093",B0BTLY572N,"Lavie Sport backpacks seamlessly blend fashion with function. With a wide selection of colors and styles this range is set to redefine the way backpacks are used. The products are not just aesthetic but loaded with various features   Made from high quality light weight polyester material, the backpacks are extremely durable. They are also super comfortable as the shoulder straps are padded and also adjustable. Lavie Sport backpacks also come with back padding and breathable mesh fabric.   The backpacks are loaded with features such as durability, double stitched & padded shoulder straps, abrasion resistant bottom, padded laptop sleeves, water resistance, twin side pockets, multi pocket organisers.   CASUAL BACKPACKS to make every outing count. Compact in size yet roomy enough for your daily essentials, Lavie Sport Casual backpacks are perfect for a day outing.   Capacity of appx 28L.   SCHOOL BACKPACKS to make learning memorable and super fun. Super spacious with multi level organiser and 3+ compartments, our School Backpacks can fit a variety of books and other items.   Capacity of appx 35L.   LAPTOP BACKPACKS to set the right tone for your work days. Lavie Sport Laptop Backpacks offer Spacious Compartments with a Dedicated Padded Laptop Sleeve and Multi Slot Organisers for your office needs.   Capacity of appx 38L."
"ADISA, ADISA INTERNATIONAL, 42/34, Upper Ground Floor, DLF Industrial Area, Kirti Nagar, New Delhi 110015, careadisa@gmail.com",B08RWCLFHY,"High Quality large and spacious laptop backpack with 2 compartments and 2 front easy-access pockets. One compartment is for carrying laptop inside with padding for safety and space for laptop accessories like charger, etc. Other compartment has organiser for pens, visiting cards, etc along with space for carrying papers, files, etc. It has provision for holding bottles on both sides and has padded shoulder straps for your comfort. It comes with a full sized rain cover.   Adjustable Padded Shoulder Straps   2 Large compartment with padding   Water Resistant Strong Polyester"
"F Gear, Uber Fashion Merchandise Pvt. Ltd. No. 17G/46-3 & 17G/46-3-1,1st& 2nd Floor, Industrial Suburb,2ndStage, Yeshwantpur, Next to Sapna Books on MEI road,Bangalore  560 022. INDIA Tel: 9066161590",B0749MPCFT,"Well if you are looking for a big bag which is also very Stylish, Durable, Waterproof with a Laptop in built sleeve then your search ends here. Yes you Got it Right!, This F Gear bag has three big compartments to boast of along with a huge horizontal pocket in the front and two bottle holders on both sides of the bag. It has an inbuilt Rain cover neatly tucked away in a concealed pocket along with Reflective Strips and Reflective Printing makes it a natural choice for rainy Season. Support at the base makes it suitable for rough/dirty terrains. Padded Shoulders and Back with Side Compression straps completes the picture.   · The 2nd compartment is the middle compartment. You can keep just about anything in it from textbooks, clothes, or other necessities.   · The 3rd compartment is the main compartment. It is really huge. It has a separate padded sleeve to keep a 17"" laptop.   The long vertical pocket in the front to keep your mobile, wallet, power bank etc...   Premium and durable YKK zippers and sliders   Bottom bushes are support at the base makes it suitable for rough and dirty terrains.   Elastic material around the edge of the cover, it is able to adjust the size according to different backpacks.   Made of waterproof wear-resisting Polyester material, durable, very light almost weightless, portable, useful and scratch-resistant."
Kushal Rubber Industries,‎B09VLK27NF,
Half_Moon,B09B68N8LT,"We(Half Moon) are sellers and manufacturers of various types of Customized Bags. Our product array comprises Backpacks, Sports Bags, Duffel Bags, Drawstring Bags, etc. These bags accomplish the customer's specifications and requirements. We provide these bags in numerous colors, designs, shapes, shades, patterns, etc. Our bags are known for lightweight, easy carrying, versatile usage, and durable nature.   This trendy backpack comes with multiple pockets and compartments and is very spacious and can accommodate all your stuff and will still be left with more space. With all features like padded handle, padded laptop compartment, reflector logo, bottle pockets, rain/dust cover etc, there is nothing that this backpack does not offer.   This MADE IN INDIA Product features 3 large zippered compartments, 2 water bottle /umbrella pockets, Rain cover, Laptop Compartment, Top padded Handle for comfort. Its ergonomics comfortable design makes you forget the load you are carrying,   This casual backpack comes with three spacious zippered compartments which can accommodate your notebooks and other essentials with ease. Store your umbrella, notebooks and water bottle in this spacious bag and move around comfortably all day.   This casual bag has Wide, Padded and Adjustable shoulder straps and Padded Back for comfort in carrying heavy items. Stitched properly and Bartacks on every pressure point for extra durability.   This backpack includes a separate rain/dust cover which can be very handy. It keeps your valuables safe and secure from rain and dust and keeps the backpack neat and clean for a longer period of time.   Half Moon is proud to be an Indian Brand. We understand the importance of Indian manufacturing and supply chains. It is the time when we revive local industries that's why this bag is Made in India by Indians using Indian materials.   Half Moon offers high-quality bags at the lowest prices. We offer bags directly from factory to the customer to provide the bag at lowest prices possible."
Uber Fashion Merchandise Pvt. Ltd.,‎B072N83D9M,"Additional front pocket to carry your regular accessories like mobile, charger, visiting cards, pen, earphones, etc.   This backpack has spaced compartment.   Comes with built in soft sleeve to protect your 17 inch laptop.   Spacious enough to hold your documents, diary, books etc.   Mesh fabric bottle holders on both the sides.   The backpack has cushioned straps that offer superior comfort while carrying it all day long. These straps are designed to evenly distribute the weight on each shoulder and also reduce fatigu"
"Acefour Accessories Pvt. Ltd., Acefour Accessories Pvt. Ltd. , Lodha Supremus Corp. Tower, Unit 1202,12th Floor,Saki Vihar road, Chandivali, Tunga Village, Opp. MTNL office, Andheri E, Mumbai -400072, Maharashtra, India",B0BR1D4SL1,
"Acefour Accessories Pvt. Ltd., Acefour Accessories Pvt. Ltd. , Lodha Supremus Corp. Tower, Unit 1202,12th Floor,Saki Vihar road, Chandivali, Tunga Village, Opp. MTNL office, Andheri E, Mumbai -400072, Maharashtra, India",B0BR1C59R8,
"Acefour Accessories Pvt. Ltd., Acefour Accessories Pvt. Ltd. , Lodha Supremus Corp. Tower, Unit 1202,12th Floor,Saki Vihar road, Chandivali, Tunga Village, Opp. MTNL office, Andheri E, Mumbai -400072, Maharashtra, India",B0BWNCV31F,
"Avon Lifestyle Pvt Ltd, Avon Lifestyle Pvt Ltd",B08R563J3T,
